Time [s],PID,Address,Endpoint,Frame #,Data,CRC
0.0000000000,SETUP,0x00,0x00,,,0x02
0.0000247200,DATA0,,,,0x80 0x06 0x00 0x01 0x00 0x00 0x40 0x00,0x94DD
0.0000944800,ACK,,,,,
0.0001195600,IN,0x00,0x00,,,0x02
0.0001464800,NAK,,,,,
0.0002057600,IN,0x00,0x00,,,0x02
0.0002325600,NAK,,,,,
0.0002760000,IN,0x00,0x00,,,0x02
0.0003029800,DATA1,,,,0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00,0xF4BF
0.0003715200,ACK,,,,,
0.0003855900,IN,0x00,0x00,,,0x02
0.0004124000,NAK,,,,,
0.0004559800,IN,0x00,0x00,,,0x02
0.0004828200,NAK,,,,,
0.0005239800,IN,0x00,0x00,,,0x02
0.0005509900,DATA0,,,,0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00,0xF4BF
0.0006195400,ACK,,,,,
0.0007905300,IN,0x00,0x00,,,0x02
0.0008174900,DATA1,,,,0x00 0x00,0x4FFE
0.0008540400,ACK,,,,,
0.0008711600,OUT,0x00,0x00,,,0x02
0.0008958700,DATA1,,,,,0x0000
0.0009221600,ACK,,,,,
