Time [s],PID,Address,Endpoint,Frame #,Data,CRC
0.0000000000,SETUP,0x00,0x00,,,0x02
0.0000247200,DATA0,,,,0x80 0x06 0x00 0x01 0x00 0x00 0x40 0x00,0x94DD
0.0000944000,ACK,,,,,
0.0001259200,IN,0x00,0x00,,,0x02
0.0001528200,NAK,,,,,
0.0001974900,IN,0x00,0x00,,,0x02
0.0002243200,NAK,,,,,
0.0003568700,IN,0x00,0x00,,,0x02
0.0003838200,DATA1,,,,0x12 0x01 0x10 0x01 0xFF 0x00 0x00 0x08,0x6321
0.0004523600,ACK,,,,,
0.0004784300,IN,0x00,0x00,,,0x02
0.0005053200,NAK,,,,,
0.0005597500,IN,0x00,0x00,,,0x02
0.0005865800,NAK,,,,,
0.0006598200,IN,0x00,0x00,,,0x02
0.0006867400,DATA0,,,,0xC0 0x16 0xDC 0x05 0x02 0x01 0x01 0x02,0x10CB
0.0007546500,ACK,,,,,
0.0007858200,IN,0x00,0x00,,,0x02
0.0008126600,NAK,,,,,
0.0008428000,IN,0x00,0x00,,,0x02
0.0008697500,DATA1,,,,0x00 0x01,0x8F3F
0.0009062900,ACK,,,,,
0.0009387600,OUT,0x00,0x00,,,0x02
0.0009634800,DATA1,,,,,0x0000
0.0009898300,ACK,,,,,
0.0445041100,SETUP,0x00,0x00,,,0x02
0.0445288300,DATA0,,,,0x00 0x05 0x3C 0x00 0x00 0x00 0x00 0x00,0xC8EF
0.0445985100,ACK,,,,,
0.0446300700,IN,0x00,0x00,,,0x02
0.0446570100,DATA1,,,,,0x0000
0.0446822400,ACK,,,,,
0.0554877500,SETUP,0x3C,0x00,,,0x06
0.0555124700,DATA0,,,,0x80 0x06 0x00 0x01 0x00 0x00 0x12 0x00,0xF4E0
0.0555823100,ACK,,,,,
0.0556219600,IN,0x3C,0x00,,,0x06
0.0556488900,NAK,,,,,
0.0557169000,IN,0x3C,0x00,,,0x06
0.0557438900,DATA1,,,,0x12 0x01 0x10 0x01 0xFF 0x00 0x00 0x08,0x6321
0.0558124400,ACK,,,,,
0.0558283200,IN,0x3C,0x00,,,0x06
0.0558552300,NAK,,,,,
0.0559169100,IN,0x3C,0x00,,,0x06
0.0559437300,NAK,,,,,
0.0559944200,IN,0x3C,0x00,,,0x06
